2024-12-15 20:56:06: Acceleration=-0.96, -0.39, -9.78, 0.04, 0.1, -0.08, Velocity is: 0.0, acc_detect_accident is 9.83473944748919, Status is Normal 
2024-12-15 20:56:06: Acceleration=-0.94, -0.37, -9.7, 0.05, 0.11, 0.04, Velocity is: 0.0, acc_detect_accident is 9.752461227813212, Status is Normal 
2024-12-15 20:56:06: Acceleration=-0.93, -0.36, -9.77, 0.06, 0.11, -0.03, Velocity is: 0.0, acc_detect_accident is 9.820763717756373, Status is Normal 
2024-12-15 20:56:06: Acceleration=-1.27, -0.41, -9.5, -0.27, 0.07, 0.24, Velocity is: 0.0, acc_detect_accident is 9.593278897227997, Status is Normal 
2024-12-15 20:56:06: Acceleration=-1.07, 0.94, -9.58, -0.07, 1.42, 0.16, Velocity is: 0.0, acc_detect_accident is 9.68529297440196, Status is Normal 
2024-12-15 20:56:06: Acceleration=0.79, -0.42, -8.82, 1.79, 0.06, 0.91, Velocity is: 0.0, acc_detect_accident is 8.86526367346172, Status is Normal 
2024-12-15 20:56:06: Acceleration=-0.95, -0.62, -10.31, 0.04, -0.14, -0.57, Velocity is: 0.0, acc_detect_accident is 10.37222251978813, Status is Normal 
2024-12-15 20:56:06: Acceleration=-0.77, 0.13, -11.6, 0.43, -0.11, 2.39, Velocity is: 0.0, acc_detect_accident is 11.626254770991387, Status is Normal 
2024-12-15 20:56:06: Acceleration=-0.32, -1.78, -8.83, 0.67, -1.28, 0.9, Velocity is: 0.0, acc_detect_accident is 9.013306829349592, Status is Normal 
2024-12-15 20:56:07: Acceleration=-2.01, 0.96, -9.51, -1.01, 1.46, 0.22, Velocity is: 0.0, acc_detect_accident is 9.76738450149271, Status is Normal 
2024-12-15 20:56:07: Acceleration=0.08, -2.25, -10.82, 1.07, -1.76, -1.07, Velocity is: 0.0, acc_detect_accident is 11.051755516658881, Status is Normal 
2024-12-15 20:56:07: Acceleration=0.07, -0.56, -11.16, 1.04, -0.07, -1.41, Velocity is: 0.0, acc_detect_accident is 11.174260601936936, Status is Normal 
2024-12-15 20:56:07: Acceleration=-0.74, 0.78, -10.12, 0.56, -1.25, -1.79, Velocity is: 0.0, acc_detect_accident is 10.176954357763426, Status is Normal 
2024-12-15 20:56:07: Acceleration=-0.97, -3.62, -11.03, 0.0, -3.14, -1.28, Velocity is: 0.3664039414787293, acc_detect_accident is 11.649300408179025, Status is Normal 
2024-12-15 20:56:07: Acceleration=-0.8, -0.1, -8.2, 0.14, 0.38, 1.53, Velocity is: 0.7424235760673735, acc_detect_accident is 8.239538822045807, Status is Normal 
2024-12-15 20:56:07: Acceleration=-1.13, -1.52, -8.7, -0.12, 1.32, -0.38, Velocity is: 1.0013172387150193, acc_detect_accident is 8.90378009611648, Status is Normal 
2024-12-15 20:56:07: Acceleration=-2.45, 0.04, -6.91, -1.48, 0.54, 2.82, Velocity is: 0.9971492922017997, acc_detect_accident is 7.331589186527025, Status is Normal 
2024-12-15 20:56:07: Acceleration=-1.56, 0.85, -11.98, -0.6, 1.34, -2.23, Velocity is: 0.9472918275917096, acc_detect_accident is 12.111007389973802, Status is Normal 
2024-12-15 20:56:07: Acceleration=-0.62, -1.96, -9.41, -0.26, -0.09, 0.47, Velocity is: 0.6276371773474771, acc_detect_accident is 9.631931270518908, Status is Normal 
2024-12-15 20:56:08: Acceleration=0.67, -0.99, -7.8, 1.65, -0.5, 1.93, Velocity is: 0.0, acc_detect_accident is 7.891070903242475, Status is Normal 
2024-12-15 20:56:08: Acceleration=0.15, -3.0, -8.83, 1.13, -2.51, 0.91, Velocity is: 0.0, acc_detect_accident is 9.326918033305535, Status is Normal 
2024-12-15 20:56:08: Acceleration=0.75, -0.88, -9.31, -2.7, -1.11, -0.29, Velocity is: 0.0, acc_detect_accident is 9.381524396386762, Status is Normal 
2024-12-15 20:56:08: Acceleration=-1.12, -0.1, -11.86, -0.13, 0.37, -2.12, Velocity is: 0.0, acc_detect_accident is 11.913185971854883, Status is Normal 
2024-12-15 20:56:08: Acceleration=-1.41, 0.26, -9.18, -0.42, 0.74, 0.56, Velocity is: 0.0, acc_detect_accident is 9.29129162172838, Status is Normal 
2024-12-15 20:56:08: Acceleration=-0.51, 0.15, -10.35, -1.3, -1.13, 1.08, Velocity is: 0.0, acc_detect_accident is 10.363643181815938, Status is Normal 
2024-12-15 20:56:08: Acceleration=3.5, -2.48, -6.04, -0.31, 0.07, 2.77, Velocity is: 0.0, acc_detect_accident is 7.4082386570628245, Status is Normal 
2024-12-15 20:56:08: Acceleration=-0.31, -0.82, -6.85, 0.67, -0.34, 2.88, Velocity is: 0.0, acc_detect_accident is 6.9058670708318735, Status is Normal 
2024-12-15 20:56:08: Acceleration=-1.72, 1.69, -9.73, -0.18, -0.42, -0.27, Velocity is: 0.48287158264160157, acc_detect_accident is 10.024340377301641, Status is Normal 
2024-12-15 20:56:08: Acceleration=-2.8, -1.07, -8.06, -1.8, -0.58, 1.67, Velocity is: 1.0178397062759401, acc_detect_accident is 8.599331369356573, Status is Normal 
