Error fetching acc data: 'SensorHandler' object has no attribute 'acc_detect_accident'
2024-12-15 20:56:06: Acceleration=9.83473944748919, Status=NORMAL
2024-12-15 20:56:06: Acceleration=9.752461227813212, Status=NORMAL
2024-12-15 20:56:06: Acceleration=9.820763717756373, Status=NORMAL
2024-12-15 20:56:06: Acceleration=9.593278897227997, Status=NORMAL
2024-12-15 20:56:06: Acceleration=9.68529297440196, Status=NORMAL
2024-12-15 20:56:06: Acceleration=8.86526367346172, Status=NORMAL
2024-12-15 20:56:06: Acceleration=10.37222251978813, Status=NORMAL
2024-12-15 20:56:06: Acceleration=11.626254770991387, Status=NORMAL
2024-12-15 20:56:07: Acceleration=9.013306829349592, Status=NORMAL
2024-12-15 20:56:07: Acceleration=9.76738450149271, Status=NORMAL
2024-12-15 20:56:07: Acceleration=11.051755516658881, Status=NORMAL
2024-12-15 20:56:07: Acceleration=11.174260601936936, Status=NORMAL
2024-12-15 20:56:07: Acceleration=10.176954357763426, Status=NORMAL
2024-12-15 20:56:07: Acceleration=11.649300408179025, Status=NORMAL
2024-12-15 20:56:07: Acceleration=8.239538822045807, Status=NORMAL
2024-12-15 20:56:07: Acceleration=8.90378009611648, Status=NORMAL
2024-12-15 20:56:07: Acceleration=7.331589186527025, Status=NORMAL
2024-12-15 20:56:07: Acceleration=12.111007389973802, Status=NORMAL
2024-12-15 20:56:08: Acceleration=9.631931270518908, Status=NORMAL
2024-12-15 20:56:08: Acceleration=7.891070903242475, Status=NORMAL
2024-12-15 20:56:08: Acceleration=9.326918033305535, Status=NORMAL
2024-12-15 20:56:08: Acceleration=9.381524396386762, Status=NORMAL
2024-12-15 20:56:08: Acceleration=11.913185971854883, Status=NORMAL
2024-12-15 20:56:08: Acceleration=9.29129162172838, Status=NORMAL
2024-12-15 20:56:08: Acceleration=10.363643181815938, Status=NORMAL
2024-12-15 20:56:08: Acceleration=7.4082386570628245, Status=NORMAL
2024-12-15 20:56:08: Acceleration=6.9058670708318735, Status=NORMAL
2024-12-15 20:56:08: Acceleration=10.024340377301641, Status=NORMAL
2024-12-15 20:56:09: Acceleration=8.599331369356573, Status=NORMAL
2024-12-15 20:56:09: Acceleration=8.085666329994083, Status=NORMAL
2024-12-15 20:56:09: Acceleration=11.615726408623784, Status=NORMAL
2024-12-15 20:56:09: Acceleration=9.733930346987286, Status=NORMAL
2024-12-15 20:56:09: Acceleration=10.167620173865663, Status=NORMAL
2024-12-15 20:56:09: Acceleration=8.509512324451972, Status=NORMAL
2024-12-15 20:56:09: Acceleration=10.599938679067913, Status=NORMAL
2024-12-15 20:56:09: Acceleration=8.892350645358064, Status=NORMAL
2024-12-15 20:56:09: Acceleration=13.20851997765079, Status=NORMAL
2024-12-15 20:56:09: Acceleration=12.154015797258122, Status=NORMAL
2024-12-15 20:56:10: Acceleration=9.694715055121527, Status=NORMAL
2024-12-15 20:56:10: Acceleration=9.46670481212972, Status=NORMAL
2024-12-15 20:56:10: Acceleration=6.850883154747277, Status=NORMAL
2024-12-15 20:56:10: Acceleration=9.407980654742016, Status=NORMAL
2024-12-15 20:56:10: Acceleration=10.485647333379088, Status=NORMAL
2024-12-15 20:56:10: Acceleration=13.006955831400367, Status=NORMAL
2024-12-15 20:56:10: Acceleration=10.095162207711176, Status=NORMAL
2024-12-15 20:56:10: Acceleration=7.541332773455896, Status=NORMAL
2024-12-15 20:56:10: Acceleration=9.376806492617835, Status=NORMAL
2024-12-15 20:56:10: Acceleration=10.600136791570192, Status=NORMAL
2024-12-15 20:56:11: Acceleration=8.69729843112216, Status=NORMAL
2024-12-15 20:56:11: Acceleration=10.755951840725208, Status=NORMAL
2024-12-15 20:56:11: Acceleration=9.702808871661855, Status=NORMAL
2024-12-15 20:56:11: Acceleration=9.860456378890381, Status=NORMAL
2024-12-15 20:56:11: Acceleration=10.76968430363676, Status=NORMAL
2024-12-15 20:56:11: Acceleration=6.139429940963575, Status=NORMAL
2024-12-15 20:56:11: Acceleration=6.089614109284758, Status=NORMAL
2024-12-15 20:56:11: Acceleration=9.999404982297698, Status=NORMAL
2024-12-15 20:56:11: Acceleration=10.753241371791113, Status=NORMAL
2024-12-15 20:56:11: Acceleration=9.06264310231844, Status=NORMAL
2024-12-15 20:56:12: Acceleration=10.40636824257147, Status=NORMAL
2024-12-15 20:56:12: Acceleration=8.685424572235949, Status=NORMAL
2024-12-15 20:56:12: Acceleration=9.271423838871785, Status=NORMAL
2024-12-15 20:56:12: Acceleration=11.350572672777352, Status=NORMAL
2024-12-15 20:56:12: Acceleration=12.854578950708575, Status=NORMAL
2024-12-15 20:56:12: Acceleration=9.294390781541306, Status=NORMAL
2024-12-15 20:56:12: Acceleration=9.91550805556629, Status=NORMAL
2024-12-15 20:56:12: Acceleration=10.918214139684201, Status=NORMAL
2024-12-15 20:56:12: Acceleration=8.771943912269391, Status=NORMAL
2024-12-15 20:56:12: Acceleration=10.436958369180172, Status=NORMAL
2024-12-15 20:56:13: Acceleration=8.829546987246855, Status=NORMAL
2024-12-15 20:56:13: Acceleration=12.948903428476097, Status=NORMAL
2024-12-15 20:56:13: Acceleration=8.90604289232878, Status=NORMAL
2024-12-15 20:56:13: Acceleration=7.3354072824895, Status=NORMAL
2024-12-15 20:56:13: Acceleration=10.372256263706563, Status=NORMAL
2024-12-15 20:56:13: Acceleration=7.142975570446815, Status=NORMAL
2024-12-15 20:56:13: Acceleration=8.175457173760988, Status=NORMAL
2024-12-15 20:56:13: Acceleration=11.526296022573773, Status=NORMAL
2024-12-15 20:56:13: Acceleration=14.450885785999416, Status=NORMAL
2024-12-15 20:56:13: Acceleration=10.93969835050309, Status=NORMAL
2024-12-15 20:56:14: Acceleration=11.681806367167708, Status=NORMAL
2024-12-15 20:56:14: Acceleration=11.121987232504809, Status=NORMAL
2024-12-15 20:56:14: Acceleration=13.28811122771028, Status=NORMAL
2024-12-15 20:56:14: Acceleration=11.129281198711801, Status=NORMAL
2024-12-15 20:56:14: Acceleration=11.027288878051577, Status=NORMAL
2024-12-15 20:56:14: Acceleration=9.798545810476165, Status=NORMAL
2024-12-15 20:56:14: Acceleration=9.2264456861784, Status=NORMAL
2024-12-15 20:56:14: Acceleration=11.019028995333482, Status=NORMAL
2024-12-15 20:56:14: Acceleration=10.519852660565167, Status=NORMAL
2024-12-15 20:56:14: Acceleration=9.176780481192736, Status=NORMAL
2024-12-15 20:56:15: Acceleration=10.030837452575932, Status=NORMAL
2024-12-15 20:56:15: Acceleration=9.746835383856649, Status=NORMAL
2024-12-15 20:56:15: Acceleration=9.900712095602014, Status=NORMAL
2024-12-15 20:56:15: Acceleration=10.44678898035181, Status=NORMAL
2024-12-15 20:56:15: Acceleration=9.672052522603463, Status=NORMAL
2024-12-15 20:56:15: Acceleration=9.680671464314859, Status=NORMAL
2024-12-15 20:56:15: Acceleration=8.625688378326682, Status=NORMAL
2024-12-15 20:56:15: Acceleration=8.43097266037555, Status=NORMAL
2024-12-15 20:56:15: Acceleration=11.849194065420653, Status=NORMAL
2024-12-15 20:56:16: Acceleration=8.422428390909594, Status=NORMAL
2024-12-15 20:56:16: Acceleration=12.163938506914608, Status=NORMAL
2024-12-15 20:56:16: Acceleration=10.226460775850068, Status=NORMAL
2024-12-15 20:56:16: Acceleration=9.614535870233153, Status=NORMAL
2024-12-15 20:56:16: Acceleration=9.452264278996859, Status=NORMAL
2024-12-15 20:56:16: Acceleration=10.917572990367411, Status=NORMAL
2024-12-15 20:56:16: Acceleration=8.669515557399963, Status=NORMAL
2024-12-15 20:56:16: Acceleration=10.985053481890747, Status=NORMAL
2024-12-15 20:56:16: Acceleration=8.590907984607913, Status=NORMAL
2024-12-15 20:56:16: Acceleration=10.154806743606693, Status=NORMAL
2024-12-15 20:56:17: Acceleration=11.014077355820595, Status=NORMAL
2024-12-15 20:56:17: Acceleration=10.277397530503528, Status=NORMAL
2024-12-15 20:56:17: Acceleration=8.766418881162364, Status=NORMAL
2024-12-15 20:56:17: Acceleration=10.458011283222065, Status=NORMAL
2024-12-15 20:56:17: Acceleration=13.260350674096065, Status=NORMAL
2024-12-15 20:56:17: Acceleration=8.11609512019173, Status=NORMAL
2024-12-15 20:56:17: Acceleration=10.510176021361394, Status=NORMAL
2024-12-15 20:56:17: Acceleration=9.231381261761427, Status=NORMAL
2024-12-15 20:56:17: Acceleration=9.595280089710775, Status=NORMAL
2024-12-15 20:56:17: Acceleration=11.669181633687941, Status=NORMAL
