2024-12-29 11:07:15: Acceleration=9.74m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:15: Acceleration=9.74m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:15: Acceleration=9.71m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:15: Acceleration=9.71m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:15: Acceleration=9.71m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:15: Acceleration=9.70m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:15: Acceleration=9.73m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:16: Acceleration=9.72m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:16: Acceleration=9.73m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:16: Acceleration=9.72m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:16: Acceleration=9.71m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:16: Acceleration=9.75m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:16: Acceleration=9.71m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:16: Acceleration=9.75m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:16: Acceleration=9.73m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:16: Acceleration=9.72m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:16: Acceleration=9.74m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:17: Acceleration=9.73m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:17: Acceleration=9.73m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:17: Acceleration=9.72m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:17: Acceleration=9.75m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:17: Acceleration=9.71m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:17: Acceleration=9.75m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:17: Acceleration=9.72m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:17: Acceleration=9.72m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:17: Acceleration=9.72m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:17: Acceleration=9.73m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:18: Acceleration=9.72m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:18: Acceleration=9.74m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:18: Acceleration=9.69m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:18: Acceleration=9.73m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:18: Acceleration=9.72m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:18: Acceleration=9.72m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:18: Acceleration=9.72m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:18: Acceleration=9.73m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:18: Acceleration=9.76m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:18: Acceleration=9.71m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:19: Acceleration=9.72m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:19: Acceleration=9.72m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:19: Acceleration=9.73m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:19: Acceleration=9.71m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:19: Acceleration=9.74m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:19: Acceleration=9.71m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:19: Acceleration=9.72m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:19: Acceleration=9.71m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:19: Acceleration=9.72m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:19: Acceleration=9.70m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:20: Acceleration=9.72m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:20: Acceleration=9.73m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:20: Acceleration=9.71m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:20: Acceleration=9.72m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:20: Acceleration=9.72m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:20: Acceleration=9.72m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:20: Acceleration=9.72m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:20: Acceleration=9.74m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:20: Acceleration=9.70m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:20: Acceleration=9.72m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:21: Acceleration=9.72m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:21: Acceleration=9.72m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:21: Acceleration=9.75m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:21: Acceleration=9.70m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:21: Acceleration=9.72m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:21: Acceleration=9.73m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:21: Acceleration=9.75m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:21: Acceleration=9.72m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:21: Acceleration=9.77m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:21: Acceleration=9.73m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:22: Acceleration=9.75m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:22: Acceleration=9.72m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:22: Acceleration=9.71m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:22: Acceleration=9.73m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:22: Acceleration=9.70m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:22: Acceleration=9.72m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:22: Acceleration=9.75m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:22: Acceleration=9.72m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:22: Acceleration=9.73m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:22: Acceleration=9.73m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:23: Acceleration=9.70m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:23: Acceleration=9.72m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:23: Acceleration=9.77m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:23: Acceleration=9.70m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:23: Acceleration=9.73m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:23: Acceleration=9.72m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:23: Acceleration=9.73m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:23: Acceleration=9.75m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:23: Acceleration=9.73m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:23: Acceleration=9.73m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:24: Acceleration=9.71m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:24: Acceleration=9.71m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:24: Acceleration=9.72m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:24: Acceleration=9.77m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:24: Acceleration=9.72m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:24: Acceleration=9.75m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:24: Acceleration=9.74m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:24: Acceleration=9.72m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:24: Acceleration=9.72m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:24: Acceleration=9.73m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:25: Acceleration=9.71m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:25: Acceleration=9.72m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:25: Acceleration=9.73m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:25: Acceleration=9.71m/s^2, Velocity=0.0km/h, Status=NORMAL
